Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
2/14/2021 04:10AM,210203383,PHONE,GENERAL ALARM BANK / RESIDENTI,710 S DUFF AVE,NA,BIL
2/14/2021 02:39AM,210203371,PHONE,PUBLIC INTOXICATION,100-BLK WELCH AVE,21000661,ARR
2/14/2021 02:31AM,210203370,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,1400-BLK IDAHO AVE,NA,UTL
2/14/2021 02:24AM,210203367,PHONE,DISORDERLY CONDUCT,400-BLK WELCH AVE,NA,UTL
2/14/2021 02:15AM,210203366,PHONE,DISTURBANCE & NOISE PARTY,313-20 STANTON AVE,NA,CBC
2/14/2021 02:13AM,210203365,SELF,SUSPICIOUS PERSON/VEH/ACTIVITY,1605 6TH ST,NA,NAT
2/14/2021 01:59AM,210203357,PHONE,RECKLESS DRIVER,203 WELCH AVE,NA,NOR
2/14/2021 01:44AM,210203355,W911,DOMESTIC DISPUTE,1107-3 DELAWARE AVE,21000660,RPT
2/14/2021 01:35AM,210203350,PHONE,CITIZEN CONTACT,1524 MEADOWLANE AVE,NA,NOR
2/14/2021 01:16AM,210203344,W911,POSSESSION UNDERAGE,126-201 WELCH AVE,NA,ASC
2/14/2021 12:49AM,210203340,W911,DISTURBANCE & NOISE PARTY,3824 TRIPP ST,NA,INFO
2/14/2021 12:46AM,210203339,SELF,POSSESSION UNDERAGE,2401 CHAMBERLAIN ST,21000658,RPT
2/14/2021 12:40AM,210203335,W911,MEDICAL ASSIST/AMBULANCE CALL,1701 COOLIDGE DR,NA,NRSP
2/14/2021 12:34AM,210203333,PHONE,DOMESTIC DISPUTE,219-115 CRYSTAL ST,21000659,RPT
2/14/2021 12:15AM,210203328,SELF,POSSESSION UNDERAGE,126-101 WELCH AVE,21000657,RPT
2/13/2021 11:54PM,210203325,SELF,POSSESSION UNDERAGE,126-201 WELCH AVE,21000656,INFO
2/13/2021 11:54PM,210203325,SELF,POSSESSION UNDERAGE,126-201 WELCH AVE,21000656,INFO
2/13/2021 11:35PM,210203321,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,315 GRAND AVE,NA,UTL
2/13/2021 11:29PM,210203320,SELF,PUBLIC INTOXICATION,129 HAYWARD AVE,NA,NOR
2/13/2021 11:26PM,210203318,PHONE,DISTURBANCE & NOISE PARTY,5360 MORTENSEN RD,NA,NAT
2/13/2021 10:39PM,210203312,PHONE,MOTOR VEH CRASH/PROP DAMAGE,100-BLK 5TH ST,NA,NAT
2/13/2021 10:36PM,210203311,PHONE,MOTOR VEH CRASH/PROP DAMAGE,3800-BLK LINCOLN WAY,21000655,RPT
2/13/2021 09:07PM,210203292,PHONE,CIVIL MATTER,1404 CRESCENT ST,NA,ASC
2/13/2021 08:26PM,210203284,PHONE,HARASSMENT,4112-205 LINCOLN SWING,21000654,RPT
2/13/2021 08:16PM,210203280,PHONE,HARASSMENT,515 CLARK AVE,NA,NOR
2/13/2021 08:08PM,210203276,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1226 TRUMAN PL,NA,NRSP
2/13/2021 07:57PM,210203274,PHONE,CIVIL MATTER,3218 ORION DR,NA,NOR
2/13/2021 07:45PM,210203271,W911,VANDALISM / CRIMINAL MISCHIEF,3800 LINCOLN WAY,NA,NOR
2/13/2021 07:41PM,210203270,PHONE,MOTOR VEH CRASH/PROP DAMAGE,309 S DUFF AVE,21000652,RPT
2/13/2021 07:35PM,210203269,SELF,OUTREACH,2420-103 LINCOLN WAY,NA,ASC
2/13/2021 07:33PM,210203267,PHONE,CIVIL MATTER,3500 GRAND AVE,21000653,RPT
2/13/2021 07:09PM,210203258,PHONE,911 HANG UP / INCOMPLETE CALL,3500-30 GRAND AVE,NA,ASC
2/13/2021 05:21PM,210203246,SELF,TRAFFIC STOP / ENFORCEMENT,ASH AVE/LINCOLN WAY,NA,CIT
2/13/2021 04:51PM,210203243,E911,MEDICAL ASSIST/AMBULANCE CALL,2200-808 HAMILTON DR,NA,NRSP
2/13/2021 04:45PM,210203240,PHONE,HARASSMENT,5603 WESTFIELD DR,NA,NOR
2/13/2021 04:28PM,210203237,PHONE,PRIVATE TOW,121 BEACH AVE,NA,PTOW
2/13/2021 03:22PM,210203228,PHONE,THEFT / FRAUD / FORGERY,4335-4 MARICOPA DR,21000651,RPT
2/13/2021 03:13PM,210203226,PHONE,MOTOR VEH CRASH/PROP DAMAGE,100-BLK S DUFF AVE,21000650,RPT
2/13/2021 03:00PM,210203223,W911,MEDICAL ASSIST/AMBULANCE CALL,428 LINCOLN WAY,NA,NRSP
2/13/2021 02:59PM,210203221,PHONE,MOTOR VEH CRASH/PROP DAMAGE,12TH ST/GRAND AVE,21000649,RPT
2/13/2021 02:39PM,210203218,PHONE,MOTORIST ASSISTANCE,147 MM US HIGHWAY 30 E,NA,NOR
2/13/2021 02:13PM,210203214,PHONE,MOTORIST ASSISTANCE,1100-BLK S DUFF AVE,NA,NOR
2/13/2021 01:50PM,210203209,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,4112 HARRIS ST,NA,UTL
2/13/2021 01:28PM,210203204,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1711 CLARK AVE,NA,GIE
2/13/2021 01:06PM,210203199,PHONE,MOTOR VEH CRASH/PROP DAMAGE,521 BROWN CT,21000648,RPT
2/13/2021 12:34PM,210203193,PHONE,PARKING ENFORCEMENT/COMPLAINT,3121 DIAMOND ST,NA,NOR
2/13/2021 11:46AM,210203186,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2210-111 HAMILTON DR,NA,NRSP
2/13/2021 11:30AM,210203182,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3210 LETTIE ST,NA,NRSP
2/13/2021 10:44AM,210203176,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,4106 BRICKMAN AVE,NA,ASC
2/13/2021 10:29AM,210203169,PHONE,MOTORIST ASSISTANCE,S 16TH ST/GOLDEN ASPEN DR,NA,NOR
2/13/2021 10:27AM,210203168,PHONE,MOTOR VEH CRASH/PROP DAMAGE,6TH ST/GRAND AVE,21000647,RPT
2/13/2021 07:17AM,210203149,PHONE,MEDICAL ASSIST/AMBULANCE CALL,515 CLARK AVE,NA,TEST
2/13/2021 07:05AM,210203147,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,229 S DUFF AVE,NA,NOR
2/13/2021 06:47AM,210203145,PHONE,GENERAL ALARM BANK / RESIDENTI,424 MAIN ST,NA,BIL
2/13/2021 05:02AM,210203132,PHONE,GENERAL ASSAULT,228 WELCH AVE,NA,NOR
2/13/2021 04:31AM,210203127,PHONE,MOTOR VEH CRASH/PROP DAMAGE,S DUFF AVE/CRYSTAL ST,21000646,RPT
2/13/2021 04:11AM,210203124,PHONE,EQUIPMENT/SIGN MALFUNCTION,3643 STORY ST,NA,REF
2/13/2021 02:58AM,210203101,W911,MEDICAL ASSIST/AMBULANCE CALL,4405-2 CASTLEWOOD PL,NA,NRSP
2/13/2021 02:16AM,210203095,PHONE,DISORDERLY CONDUCT,203 WELCH AVE,NA,CBC
2/13/2021 01:31AM,210203088,SELF,POSSESSION UNDERAGE,2401 CHAMBERLAIN ST,21000644,RPT
2/13/2021 01:04AM,210203085,SELF,POSSESSION UNDERAGE,2522 CHAMBERLAIN ST,21000642,RPT
2/13/2021 12:59AM,210203084,W911,DISORDERLY CONDUCT,4133 ONTARIO ST,21000643,RPT
2/13/2021 12:32AM,210203082,PHONE,CIVIL MATTER,4133 ONTARIO ST,NA,ASC
2/12/2021 11:56PM,210203078,PHONE,DISTURBANCE & NOISE PARTY,813-207 SANDCASTLE DR,NA,ASC
2/12/2021 11:52PM,210203077,PHONE,GENERAL ALARM BANK / RESIDENTI,238 ALEXANDER AVE,NA,BIL
2/12/2021 11:44PM,210203075,PHONE,911 HANG UP / INCOMPLETE CALL,229 BEACH AVE,NA,UTL
2/12/2021 11:37PM,210203073,PHONE,CIVIL MATTER,1206 S 4TH ST,NA,ASC
2/12/2021 11:27PM,210203071,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,1215 DUFF AVE,NA,INFO
2/12/2021 10:16PM,210203066,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2006-2 GRAND AVE,NA,NRSP
2/12/2021 10:04PM,210203059,W911,MEDICAL ASSIST/AMBULANCE CALL,117-208 S WILMOTH AVE,NA,NRSP
2/12/2021 09:19PM,210203023,PHONE,DISTURBANCE & NOISE PARTY,1525-301 S GRAND AVE,NA,UTL
2/12/2021 09:14PM,210203019,W911,MOTOR VEH CRASH/PROP DAMAGE,4112 WESTBROOK DR,21000641,RPT
2/12/2021 08:44PM,210203004,PHONE,THEFT / FRAUD / FORGERY,4320 MARICOPA DR,21000639,RPT
2/12/2021 08:42PM,210203003,PHONE,MISSING PERSON / RUNAWAY,804 KELLOGG AVE,21000640,INFO
2/12/2021 07:51PM,210202998,SELF,TRAFFIC STOP / ENFORCEMENT,2300-BLK CHAMBERLAIN ST,NA,WAR
2/12/2021 07:35PM,210202993,PHONE,THEFT OF MOTOR VEHICLE,2901 GRAND AVE,NA,NOR
2/12/2021 07:26PM,210202990,PHONE,DISORDERLY CONDUCT,3311 E LINCOLN WAY,NA,NOR
2/12/2021 07:18PM,210202985,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,421-315 STONEHAVEN DR,NA,UTL
2/12/2021 06:53PM,210202984,PHONE,THEFT / FRAUD / FORGERY,327-9 E 7TH ST,NA,NOR
2/12/2021 06:25PM,210202979,W911,MOTOR VEH CRASH/PROP DAMAGE,S DUFF AVE/S 16TH ST,21000638,RPT
2/12/2021 05:33PM,210202971,E911,MEDICAL ASSIST/AMBULANCE CALL,1231 MAXWELL AVE,NA,NRSP
2/12/2021 05:26PM,210202967,PHONE,MOTOR VEH CRASH/PROP DAMAGE,13TH ST/GRAND AVE,21000636,RPT
2/12/2021 05:13PM,210202966,PHONE,HIT & RUN PROPERTY DAMAGE,620 LINCOLN WAY,21000635,RPT
2/12/2021 05:09PM,210202965,PHONE,PARKING ENFORCEMENT/COMPLAINT,3315 AURORA AVE,NA,NOR
2/12/2021 04:59PM,210202964,PHONE,HIT & RUN PROPERTY DAMAGE,620 LINCOLN WAY,NA,GIE
2/12/2021 04:31PM,210202959,PHONE,MOTORIST ASSISTANCE,LINCOLN WAY/GRAND AVE,NA,ASC
2/12/2021 04:28PM,210202957,E911,MEDICAL ASSIST/AMBULANCE CALL,2322 E 13TH ST,NA,NRSP
2/12/2021 04:17PM,210202954,SELF,PARKING ENFORCEMENT/COMPLAINT,3922 MINNETONKA AVE,NA,ASC
2/12/2021 04:15PM,210202953,PHONE,MOTOR VEH CRASH/PROP DAMAGE,539-2 LINCOLN WAY,21000634,RPT
2/12/2021 03:40PM,210202949,PHONE,REPOSSESSION,2101-201 OAKWOOD RD,NA,REPO
2/12/2021 02:40PM,210202934,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1111 DUFF AVE,NA,NRSP
2/12/2021 02:38PM,210202932,PHONE,MOTORIST ASSISTANCE,UNIVERSITY BLVD/S 16TH ST,NA,NOR
2/12/2021 02:33PM,210202927,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3815 STANGE RD,NA,NRSP
2/12/2021 02:27PM,210202924,PHONE,LAW DEPARTMENT ASSIST,1402 MEADOWLANE AVE,NA,CBC
2/12/2021 02:24PM,210202923,PHONE,MOTOR VEH CRASH/PROP DAMAGE,GRAND AVE/20TH ST,NA,DUP
2/12/2021 02:24PM,210202922,PHONE,MOTOR VEH CRASH/PROP DAMAGE,20TH ST/GRAND AVE,21000633,RPT
2/12/2021 01:32PM,210202917,SELF,TRAFFIC STOP / ENFORCEMENT,4316 ONTARIO ST,21000632,RPT
2/12/2021 01:25PM,210202914,PHONE,MOTOR VEH CRASH/PROP DAMAGE,WAKEFIELD CIR/S BELL AVE,21000631,RPT
2/12/2021 12:42PM,210202907,SELF,MOTORIST ASSISTANCE,413 NORTH DAKOTA AVE,NA,ASC
2/12/2021 12:31PM,210202904,PHONE,PARKING ENFORCEMENT/COMPLAINT,3407 HARCOURT DR,NA,ASC
2/12/2021 12:28PM,210202903,SELF,TRAFFIC STOP / ENFORCEMENT,4403 ONTARIO ST,NA,CIT
2/12/2021 11:24AM,210202894,PHONE,VEHICLE IN DITCH,145 MM US HIGHWAY 30 E,21000630,RPT
2/12/2021 11:23AM,210202893,PHONE,VEHICLE IN DITCH,145 MM US HIGHWAY 30 E,NA,GIE
2/12/2021 10:16AM,210202884,PHONE,MOTORIST ASSISTANCE,OAKLAND ST/HYLAND AVE,NA,INFO
2/12/2021 10:02AM,210202881,PHONE,PRIVATE TOW,119-422 STANTON AVE,NA,PTOW
2/12/2021 09:46AM,210202876,PHONE,CIVIL MATTER,603 S 16TH ST,NA,NOR
2/12/2021 09:46AM,210202875,SELF,TRAFFIC STOP / ENFORCEMENT,N UNIVERSITY BLVD/LINCOLN WAY,NA,WAR
2/12/2021 08:05AM,210202864,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1423 JEFFERSON ST,NA,NRSP
2/12/2021 07:50AM,210202860,PHONE,GENERAL ALARM BANK / RESIDENTI,2521-122 UNIVERSITY BLVD,NA,BIL
2/12/2021 07:15AM,210202855,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1503 STAFFORD AVE,NA,NRSP
2/12/2021 02:06AM,210202827,SELF,OUTREACH,223 WELCH AVE,NA,ASC
2/12/2021 01:46AM,210202825,E911,MEDICAL ASSIST/AMBULANCE CALL,4218 HASTINGS AVE,NA,NRSP
2/12/2021 01:42AM,210202822,W911,MEDICAL ASSIST/AMBULANCE CALL,321-227 S 5TH ST,NA,NRSP
2/12/2021 01:10AM,210202817,PHONE,GENERAL ALARM BANK / RESIDENTI,515 DOUGLAS AVE,NA,BIL
2/12/2021 12:45AM,210202812,PHONE,GENERAL ALARM BANK / RESIDENTI,122-608 HAYWARD AVE,NA,INFO
2/12/2021 12:38AM,210202811,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,4409 TORONTO ST,NA,NOR
2/12/2021 12:13AM,210202809,PHONE,ANIMAL CALL,325 S WALNUT AVE,NA,NOR
2/11/2021 11:46PM,210202806,SELF,DISORDERLY CONDUCT,2401 CHAMBERLAIN ST,21000628,ARR
2/11/2021 11:22PM,210202802,PHONE,GENERAL ALARM BANK / RESIDENTI,2330-204 PRAIRIE VIEW WEST,NA,NBA
2/11/2021 11:08PM,210202801,SELF,POSSESSION UNDERAGE,124 WELCH AVE,21000627,RPT
2/11/2021 11:02PM,210202800,PHONE,DOMESTIC DISPUTE,300 MULBERRY BLVD,21000629,RPT
2/11/2021 10:29PM,210202797,PHONE,PARKING ENFORCEMENT/COMPLAINT,2100-BLK SUNSET DR,NA,ASC
2/11/2021 10:27PM,210202796,SELF,POSSESSION UNDERAGE,2522 CHAMBERLAIN ST,21000626,RPT
2/11/2021 10:03PM,210202793,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2400 UNIVERSITY BLVD,NA,NOR
2/11/2021 09:44PM,210202791,PHONE,TRESPASS,2650 LINCOLN WAY,NA,UTL
2/11/2021 09:35PM,210202790,PHONE,ANIMAL CALL,105 CHESTNUT ST,NA,NOR
2/11/2021 09:10PM,210202787,PHONE,TRESPASS,534 S DUFF AVE,21000625,ARR
2/11/2021 09:01PM,210202784,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1310 GLENDALE AVE,NA,NRSP
2/11/2021 09:01PM,210202782,PHONE,POSSESSION UNDERAGE,2522 CHAMBERLAIN ST,NA,UTL
2/11/2021 08:26PM,210202779,PHONE,PARKING ENFORCEMENT/COMPLAINT,307 DOTSON DR,NA,NOR
2/11/2021 08:07PM,210202774,PHONE,GENERAL ASSAULT,3505-104 LINCOLN WAY,21000624,RPT
2/11/2021 08:03PM,210202773,PHONE,TRESPASS,805 GRAND AVE,NA,NAT
