date,time,icon,wind,temp_low,temp_high,weather
2017-01-01,12 am,13,6,19,21,Clear.
2017-01-01,6 am,6,7,19,34,Partly sunny.
2017-01-01,12 pm,6,7,36,37,Partly sunny.
2017-01-01,6 pm,17,11,36,36,Overcast.
2017-01-02,12 am,17,11,34,36,Overcast.
2017-01-02,6 am,18,9,34,36,Drizzle. Fog.
2017-01-02,12 pm,18,7,36,37,Drizzle. Fog.
2017-01-02,6 pm,14,6,36,37,Passing clouds.
2017-01-03,12 am,17,13,34,36,Overcast.
2017-01-03,6 am,7,21,21,32,Overcast.
2017-01-03,12 pm,2,21,18,21,Passing clouds.
2017-01-03,6 pm,14,19,10,16,Passing clouds.
2017-01-04,12 am,13,16,7,9,Clear.
2017-01-04,6 am,6,14,5,12,Partly sunny.
2017-01-04,12 pm,7,13,10,16,Overcast.
2017-01-04,6 pm,29,9,9,10,Light snow. Ice fog.
2017-01-05,12 am,29,8,9,10,Light snow. Ice fog.
2017-01-05,6 am,2,12,7,10,Passing clouds.
2017-01-05,12 pm,29,14,9,10,Light snow. Ice fog.
2017-01-05,6 pm,14,12,3,7,Passing clouds.
2017-01-06,12 am,13,11,0,3,Clear.
2017-01-06,6 am,2,8,-2,9,Passing clouds.
2017-01-06,12 pm,6,4,10,16,Partly sunny.
2017-01-06,6 pm,14,9,7,12,Passing clouds.
2017-01-07,12 am,17,4,9,12,Overcast.
2017-01-07,6 am,2,5,12,21,Passing clouds.
2017-01-07,12 pm,1,11,18,23,Sunny.
2017-01-07,6 pm,13,5,9,16,Clear.
2017-01-08,12 am,13,4,3,9,Clear.
2017-01-08,6 am,6,14,7,18,Partly sunny.
2017-01-08,12 pm,7,16,19,21,Overcast.
2017-01-08,6 pm,17,10,21,25,Overcast.
2017-01-09,12 am,14,7,16,21,Passing clouds.
2017-01-09,6 am,7,6,16,21,Overcast.
2017-01-09,12 pm,7,14,25,30,Overcast.
2017-01-09,6 pm,17,11,30,34,Overcast.
2017-01-10,12 am,17,12,34,43,Overcast.
2017-01-10,6 am,18,17,34,43,Drizzle. Fog.
2017-01-10,12 pm,7,21,27,34,Overcast.
2017-01-10,6 pm,17,6,25,28,Overcast.
2017-01-11,12 am,14,10,27,30,Passing clouds.
2017-01-11,6 am,6,9,32,36,Partly sunny.
2017-01-11,12 pm,7,17,18,34,Overcast.
2017-01-11,6 pm,14,16,14,18,Passing clouds.
2017-01-12,12 am,14,11,12,14,Passing clouds.
2017-01-12,6 am,7,11,12,19,Overcast.
2017-01-12,12 pm,6,12,21,23,Partly sunny.
2017-01-12,6 pm,14,7,18,21,Passing clouds.
2017-01-13,12 am,17,12,12,16,Overcast.
2017-01-13,6 am,6,10,12,19,Partly sunny.
2017-01-13,12 pm,6,9,19,25,Partly sunny.
2017-01-13,6 pm,17,7,21,23,Overcast.
2017-01-14,12 am,17,2,23,23,Overcast.
2017-01-14,6 am,6,4,21,28,Partly sunny.
2017-01-14,12 pm,2,5,30,36,Passing clouds.
2017-01-14,6 pm,14,1,27,28,Passing clouds.
2017-01-15,12 am,17,2,27,28,Overcast.
2017-01-15,6 am,6,6,28,32,Partly sunny.
2017-01-15,12 pm,6,7,34,34,Partly sunny.
2017-01-15,6 pm,27,7,30,32,Light freezing rain. Ice fog.
2017-01-16,12 am,27,7,30,32,Light freezing rain. Ice fog.
2017-01-16,6 am,27,9,32,34,Light freezing rain. Ice fog.
2017-01-16,12 pm,18,6,34,34,Drizzle. Fog.
2017-01-16,6 pm,14,6,34,34,Passing clouds.
2017-01-17,12 am,34,11,34,34,Drizzle. Fog.
2017-01-17,6 am,34,11,34,36,Drizzle. Fog.
2017-01-17,12 pm,7,10,36,36,Overcast.
2017-01-17,6 pm,14,9,32,34,Passing clouds.
2017-01-18,12 am,14,9,30,34,Passing clouds.
2017-01-18,6 am,10,9,30,41,Ice fog.
2017-01-18,12 pm,2,12,39,46,Passing clouds.
2017-01-18,6 pm,14,12,34,37,Passing clouds.
2017-01-19,12 am,14,6,32,37,Passing clouds.
2017-01-19,6 am,9,5,32,39,Fog.
2017-01-19,12 pm,9,6,37,39,Fog.
2017-01-19,6 pm,34,2,37,37,Drizzle. Fog.
2017-01-20,12 am,14,2,36,37,Passing clouds.
2017-01-20,6 am,9,4,37,41,Fog.
2017-01-20,12 pm,9,6,39,43,Fog.
2017-01-20,6 pm,34,7,39,43,Drizzle. Fog.
2017-01-21,12 am,14,7,41,45,Passing clouds.
2017-01-21,6 am,9,8,45,46,Fog.
2017-01-21,12 pm,7,12,39,46,Overcast.
2017-01-21,6 pm,14,2,30,41,Passing clouds.
2017-01-22,12 am,14,6,30,34,Passing clouds.
2017-01-22,6 am,9,8,34,37,Fog.
2017-01-22,12 pm,9,10,37,37,Fog.
2017-01-22,6 pm,14,12,36,37,Passing clouds.
2017-01-23,12 am,34,10,32,36,Drizzle. Fog.
2017-01-23,6 am,7,7,34,34,Overcast.
2017-01-23,12 pm,7,4,34,36,Overcast.
2017-01-23,6 pm,17,3,34,34,Overcast.
2017-01-24,12 am,17,6,32,34,Overcast.
2017-01-24,6 am,10,9,32,32,Ice fog.
2017-01-24,12 pm,10,14,32,34,Ice fog.
2017-01-24,6 pm,27,10,34,36,Light freezing rain. Ice fog.
2017-01-25,12 am,14,7,34,36,Passing clouds.
2017-01-25,6 am,29,11,34,34,Light snow. Ice fog.
2017-01-25,12 pm,29,20,30,34,Light snow. Ice fog.
2017-01-25,6 pm,29,17,28,28,Light snow. Ice fog.
2017-01-26,12 am,29,17,28,28,Light snow. Ice fog.
2017-01-26,6 am,29,15,27,28,Light snow. Ice fog.
2017-01-26,12 pm,29,15,28,30,Light snow. Ice fog.
2017-01-26,6 pm,29,11,25,28,Light snow. Ice fog.
2017-01-27,12 am,29,15,21,25,Light snow. Ice fog.
2017-01-27,6 am,2,13,18,25,Passing clouds.
2017-01-27,12 pm,6,12,27,30,Partly sunny.
2017-01-27,6 pm,17,16,27,32,Overcast.
2017-01-28,12 am,14,14,25,27,Passing clouds.
2017-01-28,6 am,2,16,25,30,Passing clouds.
2017-01-28,12 pm,7,16,28,32,Overcast.
2017-01-28,6 pm,17,14,32,34,Overcast.
2017-01-29,12 am,29,12,30,32,Light snow. Ice fog.
2017-01-29,6 am,7,11,30,34,Overcast.
2017-01-29,12 pm,6,14,34,36,Partly sunny.
2017-01-29,6 pm,17,5,30,34,Overcast.
2017-01-30,12 am,17,5,30,32,Overcast.
2017-01-30,6 am,6,10,32,46,Partly sunny.
2017-01-30,12 pm,6,21,46,52,Partly sunny.
2017-01-30,6 pm,13,21,39,45,Clear.
2017-01-31,12 am,17,21,37,39,Overcast.
2017-01-31,6 am,6,14,36,41,Partly sunny.
2017-01-31,12 pm,6,14,39,43,Partly sunny.
2017-01-31,6 pm,17,10,37,37,Overcast.
2017-02-01,12 am,17,10,32,36,Overcast.
2017-02-01,6 am,6,12,30,34,Partly sunny.
2017-02-01,12 pm,7,13,27,32,Overcast.
2017-02-01,6 pm,29,16,21,27,Light snow. Ice fog.
2017-02-02,12 am,14,13,16,21,Passing clouds.
2017-02-02,6 am,6,11,16,21,Partly sunny.
2017-02-02,12 pm,6,13,21,25,Partly sunny.
2017-02-02,6 pm,14,7,19,21,Passing clouds.
2017-02-03,12 am,17,11,19,19,Overcast.
2017-02-03,6 am,2,8,18,25,Passing clouds.
2017-02-03,12 pm,2,7,27,30,Passing clouds.
2017-02-03,6 pm,13,6,19,25,Clear.
2017-02-04,12 am,17,10,18,25,Overcast.
2017-02-04,6 am,6,19,27,39,Partly sunny.
2017-02-04,12 pm,2,18,41,45,Passing clouds.
2017-02-04,6 pm,13,9,34,37,Clear.
2017-02-05,12 am,17,18,28,34,Overcast.
2017-02-05,6 am,7,7,27,34,Overcast.
2017-02-05,12 pm,6,2,34,36,Partly sunny.
2017-02-05,6 pm,14,6,28,34,Passing clouds.
2017-02-06,12 am,13,7,27,28,Clear.
2017-02-06,6 am,6,7,28,48,Partly sunny.
2017-02-06,12 pm,6,7,54,57,Partly sunny.
2017-02-06,6 pm,17,6,48,52,Overcast.
2017-02-07,12 am,17,5,43,48,Overcast.
2017-02-07,6 am,18,17,34,43,Drizzle. Fog.
2017-02-07,12 pm,6,22,28,36,Partly sunny.
2017-02-07,6 pm,14,14,23,27,Passing clouds.
2017-02-08,12 am,29,11,18,21,Light snow. Ice fog.
2017-02-08,6 am,29,12,16,18,Light snow. Ice fog.
2017-02-08,12 pm,2,14,18,19,Passing clouds.
2017-02-08,6 pm,14,11,14,16,Passing clouds.
2017-02-09,12 am,14,9,9,12,Passing clouds.
2017-02-09,6 am,6,6,10,18,Partly sunny.
2017-02-09,12 pm,2,8,18,21,Passing clouds.
2017-02-09,6 pm,14,11,19,21,Passing clouds.
2017-02-10,12 am,14,13,21,27,Passing clouds.
2017-02-10,6 am,6,12,27,46,Partly sunny.
2017-02-10,12 pm,6,12,48,57,Partly sunny.
2017-02-10,6 pm,14,2,39,48,Passing clouds.
2017-02-11,12 am,14,4,36,39,Passing clouds.
2017-02-11,6 am,7,8,39,54,Overcast.
2017-02-11,12 pm,6,12,46,55,Partly sunny.
2017-02-11,6 pm,17,12,43,46,Overcast.
2017-02-12,12 am,17,12,39,43,Overcast.
2017-02-12,6 am,2,21,37,45,Passing clouds.
2017-02-12,12 pm,2,19,43,48,Passing clouds.
2017-02-12,6 pm,13,4,32,39,Clear.
2017-02-13,12 am,14,3,25,28,Passing clouds.
2017-02-13,6 am,6,8,25,48,Partly sunny.
2017-02-13,12 pm,6,12,45,52,Partly sunny.
2017-02-13,6 pm,14,7,36,43,Passing clouds.
2017-02-14,12 am,14,7,30,34,Passing clouds.
2017-02-14,6 am,6,11,30,46,Partly sunny.
2017-02-14,12 pm,6,16,45,52,Partly sunny.
2017-02-14,6 pm,13,16,36,43,Clear.
2017-02-15,12 am,13,9,25,34,Clear.
2017-02-15,6 am,2,9,27,37,Passing clouds.
2017-02-15,12 pm,6,7,39,45,Partly sunny.
2017-02-15,6 pm,14,6,34,39,Passing clouds.
2017-02-16,12 am,13,9,32,34,Clear.
2017-02-16,6 am,6,9,34,54,Partly sunny.
2017-02-16,12 pm,6,9,59,64,Partly sunny.
2017-02-16,6 pm,14,5,45,55,Passing clouds.
2017-02-17,12 am,13,7,39,45,Clear.
