Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
17-000001,Drug Violation,01/01/17 1643,01/01/17 1643,01/01/17 1643,124 University Village,Arrest
17-000002,Drug Violation,01/01/17 2107,01/01/17 2107,01/01/17 2107,Foutainview Apartments,Arrest
17-000003,Drug Violation/Driving Violation,01/02/17 0257,01/02/17 0257,01/02/17 0257,Lincoln Way and University Boulevard,Arrest
17-000008,Drug Violation,01/06/17 1358,NA,01/06/17 1358,Armory Building,Open
17-000010,Public Intoxication/Interference,01/07/17 0107,01/07/17 0107,01/07/17 0107,204 Welch Avenue,Arrest
17-000011,Alcohol Violation,01/07/17 2131,01/07/17 2131,01/07/17 2131,119 Stanton Avenue,Arrest
17-000012,Drug Violation,01/08/17 0048,01/08/17 0048,01/08/17 0048,Hawthorn Court Drive and Stange Road,Arrest
17-000013,Operating while Intoxicated,01/08/17 0157,01/08/17 0157,01/08/17 0157,South 4th Street and University Boulevard,Arrest
17-000015,Burglary,01/08/17 1608,NA,01/08/17 1608,Willow Hall,Open
17-000016,Operating while Intoxicated/Drug Violation/Driving Violation,01/09/17 0018,01/09/17 0018,01/09/17 0018,4510 Mortensen Road,Arrest
17-000017,Vandalism,01/09/17 1130,NA,01/09/17 1130,Lloyd Veterinary Medical Center,Open
17-000019,Theft,01/10/17 1043,NA,01/10/17 1043,Lied Recreation Center,Open
17-000020,Drug Violation,01/10/17 2032,01/10/17 2032,01/10/17 2032,Lot 61A,Arrest
17-000021,Operating while Intoxicated,01/11/17 0307,01/11/17 0307,01/11/17 0307,Lincoln Way and University Boulevard,Arrest
17-000022,Theft,01/11/17 1129,NA,01/11/17 1129,Gerdin Business Building,Open
17-000023,Harassment,01/11/17 1239,NA,01/11/17 1239,Armory Building,Open
17-000024,Theft,01/11/17 1401,NA,01/11/17 1401,Parks Library,Open
17-000025,Public Intoxication/Alcohol Violation/Interference,01/11/17 2108,01/11/17 2108,01/11/17 2108,520 Morrill Road,Arrest
17-000026,Theft,01/12/17 1012,NA,02/16/17 0000,Molecular Biology Building,Gen. in Error
17-000033,Alcohol Violation,01/13/17 0133,01/13/17 0133,01/13/17 0133,Lincoln Way and Union Drive,Arrest
17-000034,Operating while Intoxicated,01/13/17 0153,01/13/17 0153,01/13/17 0153,Lincoln Way and University Boulevard,Arrest
17-000035,Drug Violation,01/13/17 0827,NA,01/13/17 0827,Armory Building,Open
17-000037,Theft,01/13/17 1354,NA,01/13/17 1354,Armory Building,Open
17-000038,Driving Violation,01/13/17 1743,01/13/17 1743,01/13/17 1743,Mortensen Road and State Avenue,Arrest
17-000039,Operating while Intoxicated/Alcohol Violation,01/13/17 2239,01/13/17 2239,01/13/17 2239,Lincoln Way and State Avenue,Arrest
17-000040,Operating while Intoxicated,01/14/17 0109,01/14/17 0109,01/14/17 0109,116 Welch Avenue,Arrest
17-000041,Disorderly Conduct,01/14/17 1700,01/14/17 1700,01/14/17 1700,State Gymnasium,Closed
17-000043,Alcohol Violation,01/15/17 0040,01/15/17 0040,01/15/17 0040,Union Drive and Welch Road,Arrest
17-000044,Operating while Intoxicated,01/16/17 0153,01/16/17 0153,01/16/17 0153,2519 Chamberlain Street,Arrest
17-000045,Harassment,01/16/17 1600,NA,01/16/17 1600,Armory Building,Open
17-000046,Public Intoxication,01/16/17 1916,01/16/17 1916,01/16/17 1916,Hilton Colesium,Arrest
17-000047,Alcohol Violation,01/16/17 2025,01/16/17 2025,01/16/17 2025,Hilton Colesium,Arrest
17-000048,Harassment,01/17/17 1659,NA,01/17/17 1659,Armory Building,Open
17-000049,Driving Violation,01/17/17 1812,01/17/17 1812,01/17/17 1812,Lot 23,Arrest
17-000050,Driving Violation,01/17/17 2246,01/17/17 2246,01/17/17 2246,Bissell Road and Union Drive,Arrest
17-000051,Drug Violation,01/18/17 1003,01/18/17 1003,01/18/17 1003,Armory Building,Arrest
17-000054,Harassment,01/18/17 1618,NA,01/18/17 1618,Armory Building,Open
17-000053,Drug Violation,01/18/17 1623,01/18/17 1623,01/18/17 1623,Lot 83,Arrest
17-000056,Drug Violation,01/18/17 1759,01/18/17 1759,01/18/17 1759,Helser Hall,Arrest
17-000057,Theft,01/18/17 1830,NA,01/18/17 1830,Welch Hall,Open
17-000058,Operating while Intoxicated,01/19/17 0213,01/19/17 0213,01/19/17 0213,Mortensen Road and Seagrave Boulevard,Arrest
17-000059,Operating while Intoxicated/Alcohol Violation,01/19/17 0354,01/19/17 0354,01/19/17 0354,2636 Lincoln Way,Arrest
17-000060,Drug Violation,01/19/17 2053,01/19/17 2053,01/19/17 2053,Lot 63,Arrest
17-000061,Drug Violation,01/20/17 0010,01/20/17 0010,01/20/17 0010,Maple Hall,Arrest
17-000062,Theft,01/20/17 1321,NA,01/20/17 1321,Armory Building,Open
17-000063,Theft,01/20/17 1412,NA,01/20/17 1412,Memorial Union,Open
17-000065,Public Intoxication/Criminal Mischief,01/20/17 2249,01/20/17 2249,01/20/17 2249,Helser Hall,Arrest
17-000066,Assault,01/21/17 0022,01/21/17 0022,01/21/17 0022,Mortensen Road and State Avenue,Open
17-000068,Operating while Intoxicated/Interference,01/21/17 0155,01/21/17 0155,01/21/17 0155,Story Street and Wilmoth Avenue,Arrest
17-000069,Theft,01/21/17 0201,NA,01/21/17 0201,Larch Hall,Open
17-000070,Drug Violation,01/21/17 2143,01/21/17 2143,01/21/17 2143,Lot 61G,Arrest
17-000076,Disorderly Conduct,01/22/17 1532,01/22/17 1532,01/22/17 1532,Wallace Hall,Open
17-000078,Theft,01/23/17 1419,NA,01/23/17 1419,Lot 61B,Open
17-000079,Drug Violation,01/23/17 2127,01/23/17 2127,01/23/17 2127,Hyland Avenue and Lincoln Way,Arrest
17-000080,Drug Violation,01/24/17 0025,01/24/17 0025,01/24/17 0025,Maple Hall,Arrest
17-000081,Drug Violation,01/24/17 0156,01/24/17 0156,01/24/17 0156,1102 Haber Road,Arrest
17-000085,Drug Violation,01/24/17 2034,01/24/17 2034,01/24/17 2034,Friley Hall,Arrest
17-000095,Drug Violation,01/25/17 2033,01/25/17 2033,01/25/17 2033,Linden Hall,Arrest
17-000097,Vandalism,01/26/17 2108,NA,01/26/17 2108,Nuclear Engineering Laboratory,Open
17-000098,Operating while Intoxicated,01/27/17 0100,01/27/17 0100,01/27/17 0100,Beach Avenue and Indiangrass Court,Arrest
17-000101,Drug Violation,01/27/17 1316,01/27/17 1316,01/27/17 1316,Armory Building,Open
17-000103,Drug Violation,01/27/17 2344,01/27/17 2344,01/27/17 2344,Willow Hall,Arrest
17-000104,Alcohol Violation,01/28/17 0021,01/28/17 0021,01/28/17 0021,Ash Avenue and Sunset Drive,Arrest
17-000106,Public Intoxication,01/28/17 0307,01/28/17 0307,01/28/17 0307,South 16th Street and University Boulevard,Arrest
17-000107,Theft,01/28/17 1326,NA,01/28/17 1326,Lot 61B,Open
17-000109,Theft,01/28/17 2024,NA,01/28/17 2024,Elm Hall,Open
17-000112,Public Intoxication,01/29/17 0104,01/29/17 0104,01/29/17 0104,Knapp Street and South Sheldon Avenue,Arrest
17-000115,Drug Violation,01/30/17 1125,NA,01/30/17 1125,Armory Building,Open
17-000116,Theft,01/30/17 2108,NA,01/30/17 2108,University Village Laundry,Open
17-000121,Driving Violation,02/01/17 0130,02/01/17 0130,02/01/17 0130,Hyland Avenue and Lincoln Way,Arrest
17-000122,Harassment,02/01/17 1300,NA,02/01/17 1300,Armory Building,Open
17-000125,Drug Violation,02/01/17 2313,02/01/17 2313,02/01/17 2313,Birch Hall,Arrest
17-000126,Operating while Intoxicated/Driving Violation/Interference,02/02/17 0108,02/02/17 0108,02/02/17 0108,Hayward Avenue and Lincoln Way,Arrest
17-000128,Vandalism,02/02/17 2216,NA,02/02/17 2216,1220 Walton Drive,Open
17-000129,Public Intoxication,02/03/17 0206,02/03/17 0206,02/03/17 0206,Friley Hall,Arrest
17-000130,Harassment,02/03/17 0808,NA,02/03/17 0808,Helser Hall,Open
17-000131,Theft,02/03/17 1210,NA,02/03/17 1210,2129 Hawthorn Court Drive,Open
17-000132,Assault,02/03/17 1226,02/03/17 1226,02/03/17 1226,Union Drive and Welch Road,Open
17-000133,Drug Violation,02/04/17 0033,02/04/17 0033,02/04/17 0033,Franklin Avenue and Lincoln Way,Arrest
17-000135,Drug Violation/Alcohol Violation,02/04/17 2040,02/04/17 2040,02/04/17 2040,Ash Avenue and Lincoln Way,Arrest
17-000137,Operating while Intoxicated,02/05/17 0207,02/05/17 0207,02/05/17 0207,Lincoln Way and South Dakota Avenue,Arrest
17-000139,Theft,02/05/17 1143,NA,02/05/17 1143,Veenker Performance Center,Open
17-000140,Drug Violation,02/06/17 0955,NA,02/06/17 0955,Armory Building,Open
17-000142,Harassment,02/06/17 1052,NA,02/06/17 1052,2229 Lincoln Way,Open
17-000143,Theft,02/06/17 1813,NA,02/06/17 1813,Armory Building,Open
17-000144,Harassment,02/06/17 2036,NA,02/06/17 2036,Parks Library,Open
17-000145,Drug Violation,02/07/17 0050,NA,02/07/17 0050,Armory Building,Open
17-000146,Drug Violation,02/07/17 0050,NA,02/07/17 0050,Armory Building,Open
17-000148,Harassment,02/07/17 1324,NA,02/07/17 1324,Student Services Building,Open
17-000150,Drug Violation,02/07/17 2048,02/07/17 2048,02/07/17 2048,Maple Hall,Arrest
17-000151,Drug Violation,02/08/17 0943,NA,02/08/17 0943,Armory Building,Open
17-000152,Harassment,02/08/17 1646,NA,02/08/17 1646,Martin Hall,Open
17-000152,Harassment/Extortion,02/08/17 1646,NA,02/14/17 1921,Martin Hall,Arrest
17-000154,Public Intoxication,02/09/17 0133,02/09/17 0133,02/09/17 0133,Chamberlain Street and Welch Avenue,Arrest
17-000156,Theft,02/09/17 1543,NA,02/09/17 1543,Friley Hall,Open
17-000160,Operating while Intoxicated,02/10/17 0201,02/10/17 0201,02/10/17 0201,Lot 72A,Arrest
17-000161,Public Intoxication,02/10/17 0203,02/10/17 0203,02/10/17 0203,Chamberlain Place and Chamberlain Street,Arrest
17-000164,Theft,02/10/17 1428,NA,02/10/17 1428,Foutainview Apartments,Open
17-000165,Theft,02/10/17 1558,NA,02/10/17 1558,Ames Intermodel Facility,Open
17-000167,Operating while Intoxicated,02/11/17 0023,02/11/17 0023,02/11/17 0023,Gateway Hills Park Drive and Mortensen Road,Arrest
17-000168,Public Intoxication,02/11/17 0209,02/11/17 0209,02/11/17 0209,Knapp Street and Lynn Avenue,Arrest
17-000169,Driving Violation,02/11/17 0253,02/11/17 0253,02/11/17 0253,Lincoln Way and Sheldon Avenue,Arrest
17-000170,Public Intoxication,02/11/17 2021,02/11/17 2021,02/11/17 2021,Hayward Avenue and Knapp Street,Arrest
17-000172,Vandalism,02/12/17 0145,NA,02/12/17 0145,Friley Hall,Open
17-000175,Theft,02/12/17 1515,NA,02/12/17 1515,Armory Building,Open
17-000176,Drug Violation,02/13/17 0036,02/13/17 0036,02/13/17 0036,Mortensen Parkway and University Boulevard,Arrest
17-000177,Theft,02/13/17 1149,NA,02/13/17 1149,Armory Building,Open
17-000179,Drug Violation,02/13/17 2036,NA,02/13/17 2036,Armory Building,Open
17-000180,Harassment,02/14/17 0919,NA,02/14/17 0919,Armory Building,Open
17-000183,Harassment,02/14/17 1425,NA,02/14/17 1425,East Campus Parking Deck,Open
17-000184,Theft,02/14/17 1515,NA,02/14/17 1515,Armory Building,Open
17-000188,Sexual Assault,02/15/17 0839,NA,02/15/17 0839,University Village,Open
17-000189,Drug Violation,02/15/17 1205,NA,02/15/17 1205,Armory Building,Open
17-000190,Theft,02/15/17 1239,NA,02/15/17 1239,Lot 202F,Open
17-000192,Theft,02/15/17 1633,NA,02/15/17 1633,Parks Library,Open
17-000193,Theft,02/15/17 1935,NA,02/15/17 1935,62 Frederiksen Court,Open
17-000194,Operating while Intoxicated,02/16/17 0040,02/16/17 0040,02/16/17 0040,Dickinson Avenue and Mortensen Road,Arrest
17-000197,Drug Violation,02/16/17 0922,02/16/17 0922,02/16/17 0922,312 S Franklin Avenue,Arrest
17-000198,Theft,02/16/17 1441,NA,02/16/17 1441,Oak Hall,Open
17-000201,Public Intoxication,02/17/17 0036,02/17/17 0036,02/17/17 0036,Lincoln Way and Welch Road,Arrest
17-000200,Public Intoxication,02/17/17 0054,02/17/17 0054,02/17/17 0054,Hyland Avenue and Lincoln Way,Arrest
17-000202,Operating while Intoxicated,02/17/17 0127,02/17/17 0127,02/17/17 0127,Mayfield Drive and Seagrave Boulevard,Arrest
17-000205,Public Intoxication,02/18/17 0045,02/18/17 0045,02/18/17 0045,Chamberlain Street and Hayward Avenue,Arrest
